groupby,metoda,czas[ms]
        id-date,dfdb,177
        id-date,dfdb,82
        id-date,dfdb,59
        id-date,dfdb,216
        id-date,dfdb,136
        id-date,dfdb,89
        id-date,dfdb,66
        id-date,dfdb,52
        id-date,dfdb,51
        id-date,dfdb,67
        id-date,dfdb,79
        id-date,dfdb,78
        id-date,dfdb,76
        id-date,dfdb,73
        id-date,dfdb,63
        id-date,dfdb,51
        id-date,dfdb,130
        id-date,dfdb,133
        id-date,dfdb,114
        id-date,dfdb,180
        id-date,dfdb,130
        id-date,dfdb,114
        id-date,dfdb,118
        id-date,dfdb,63
        id-date,dfdb,64
        id-date,dfdb,65
        id-date,dfdb,53
        id-date,dfdb,53
        id-date,dfdb,53
        id-date,dfdb,58
        id-date,dfdb,145
        id-date,dfdb,62
        id-date,dfdb,59
        id-date,dfdb,54
        id-date,dfdb,125
        id-date,dfdb,123
        id-date,dfdb,139
        id-date,dfdb,134
        id-date,dfdb,64
        id-date,dfdb,55
        id-date,dfdb,106
        id-date,dfdb,68
        id-date,dfdb,57
        id-date,dfdb,144
        id-date,dfdb,77
        id-date,dfdb,64
        id-date,dfdb,54
        id-date,dfdb,69
        id-date,dfdb,95
        id-date,dfdb,59
        id-date,dfdb,64
        id-date,dfdb,67
        id-date,dfdb,66
        id-date,dfdb,52
        id-date,dfdb,53
        id-date,dfdb,55
        id-date,dfdb,56
        id-date,dfdb,58
        id-date,dfdb,60
        id-date,dfdb,67
        id-date,dfdb,131
        id-date,dfdb,64
        id-date,dfdb,56
        id-date,dfdb,75
        id-date,dfdb,72
        id-date,dfdb,74
        id-date,dfdb,91
        id-date,dfdb,91
        id-date,dfdb,62
        id-date,dfdb,53
        id,dfdb,11
        id,dfdb,11
        id,dfdb,11
        id,dfdb,21
        id,dfdb,8
        id,dfdb,6
        id,dfdb,5
        id,dfdb,5
        id,dfdb,6
        id,dfdb,5
        id,dfdb,6
        id,dfdb,5
        id,dfdb,5
        id,dfdb,6
        id,dfdb,5
        id,dfdb,5
        id,dfdb,5
        id,dfdb,5
        id,dfdb,5
        id,dfdb,5
        id,dfdb,5
        id,dfdb,5
        id,dfdb,5
        id,dfdb,5
        id,dfdb,5
        id,dfdb,5
        id,dfdb,5
        id,dfdb,7
        id,dfdb,5
        id,dfdb,6
        id,dfdb,5
        id,dfdb,5
        id,dfdb,6
        id,dfdb,5
        id,dfdb,5
        id,dfdb,5
        id,dfdb,5
        id,dfdb,5
        id,dfdb,10
        id,dfdb,6
        id,dfdb,5
        id,dfdb,6
        id,dfdb,5
        id,dfdb,6
        id,dfdb,9
        id,dfdb,5
        id,dfdb,5
        id,dfdb,5
        id,dfdb,5
        id,dfdb,6
        id,dfdb,6
        id,dfdb,7
        id,dfdb,8
        id,dfdb,13
        id,dfdb,24
        id,dfdb,9
        id,dfdb,7
        id,dfdb,6
        id,dfdb,6
        id,dfdb,7
        id,dfdb,5
        id,dfdb,6
        id,dfdb,6
        id,dfdb,6
        id,dfdb,6
        id,dfdb,6
        id,dfdb,10
        id,dfdb,10
        id,dfdb,7
        id,dfdb,6
        id,df,121
        id,df,91
        id,df,66
        id,df,70
        id,df,62
        id,df,36
        id,df,22
        id,df,22
        id,df,21
        id,df,21
        id,df,27
        id,df,29
        id,df,16
        id,df,19
        id,df,16
        id,df,17
        id,df,17
        id,df,13
        id,df,12
        id,df,12
        id,df,13
        id,df,13
        id,df,13
        id,df,14
        id,df,13
        id,df,13
        id,df,13
        id,df,19
        id,df,12
        id,df,13
        id,df,13
        id,df,13
        id,df,13
        id,df,14
        id,df,12
        id,df,15
        id,df,12
        id,df,13
        id,df,13
        id,df,12
        id,df,13
        id,df,13
        id,df,15
        id,df,19
        id,df,12
        id,df,12
        id,df,13
        id,df,13
        id,df,12
        id,df,13
        id,df,12
        id,df,24
        id,df,17
        id,df,12
        id,df,12
        id,df,12
        id,df,12
        id,df,11
        id,df,17
        id,df,27
        id,df,15
        id,df,15
        id,df,16
        id,df,26
        id,df,16
        id,df,14
        id,df,12
        id,df,13
        id,df,29
        id,df,14
        id,df,46
        id,df,46
        id,df,23
        id,df,17
        id,df,15
        id,df,20
        id,df,14
        id,df,22
        id,df,29
        id,df,13
        id,df,20
        id,df,24
        id,df,29
        id,df,61
        id,df,24
        id,df,27
        id,df,18
        id,df,14
        id,df,48
        id,df,19
        id,df,15
        id,df,15
        id,df,21
        id,df,53
        id,df,14
        id,df,14
        id,df,13
        id,df,13
        id,df,20
        id,df,16
        id,df,14
        id,df,12
        id,df,13
        id,df,12
        id,df,21
        id,df,13
        id,df,17
        id,df,13
        id,df,12
        id,df,12
        id,df,12
        id,df,12
        id,df,20
        id,df,14
        id,df,16
        id,df,13
        id,df,12
        id,df,22
        id,df,12
        id,df,19
        id,df,13
        id,df,24
        id,df,17
        id,df,12
        id,df,12
        id,df,9
        id,df,15
        id,df,19
        id,df,12
        id,df,15
        id,df,19
        id,df,20
        id,df,15
        id,df,12
        id,df,12
        id,df,13
        id,df,12
        id,df,27
        id,df,14
        id,df,15
        id,df,11
        id,df,16
        id,df,15
        id,df,14
        id,df,11
        id,df,12
        id,df,10
        id,df,12
        id,df,11
        id,df,6
        id,df,6
        id,df,8
        id,df,6
        id,df,8
        id,df,11
        id,df,11
        id,df,9
        id,df,10
        id,df,9
        id,df,7
        id,df,15
        id,df,7
        id,df,7
        id,df,7
        id,df,9
        id,df,11
        id,df,11
        id,df,10
        id,df,8
        id,df,10
        id,df,9
        id,df,14
        id,df,12
        id,df,8
        id,df,8
        id,df,8
        id,df,8
        id,df,7
        id,df,8
        id,df,7
        id,df,9
        id,df,7
        id,df,10
        id,df,9
        id,df,17
        id,df,11
        id,df,8
        id,df,8
        id,df,9
        id,df,9
        id,df,7
        id,df,7
        id,df,10
        id,df,7
        id,df,9
        id,df,8
        id,df,9
        id,df,7
        id,df,8
        id,df,9
        id,dfthreads,58
        id,dfthreads,39
        id,dfthreads,39
        id,dfthreads,24
        id,dfthreads,25
        id,dfthreads,43
        id,dfthreads,28
        id,dfthreads,26
        id,dfthreads,18
        id,dfthreads,38
        id,dfthreads,21
        id,dfthreads,14
        id,dfthreads,30
        id,dfthreads,25
        id,dfthreads,27
        id,dfthreads,20
        id,dfthreads,28
        id,dfthreads,28
        id,dfthreads,10
        id,dfthreads,11
        id,dfthreads,10
        id,dfthreads,10
        id,dfthreads,10
