groupby,metoda,iloscDanych,czas[ms]
id,df,1000000,1814
id,dfthreads,1000000,802
id,df,1000000,2064
id,dfthreads,1000000,825
id,df,1000000,1277
id,dfthreads,1000000,797
id,df,1000000,1140
id,dfthreads,1000000,668
id,df,1000000,1107
id,dfthreads,1000000,685
id,df,1000000,1174
id,dfthreads,1000000,703
id,df,1000000,1646
id,dfthreads,1000000,822
id,df,1000000,1303
id,dfthreads,1000000,889
id,df,1000000,1097
id,dfthreads,1000000,665
id,df,1000000,1114
id,dfthreads,1000000,671
id,df,1000000,1100
id,dfthreads,1000000,716
id,df,1000000,1131
id,dfthreads,1000000,711
id,df,1000000,1121
id,dfthreads,1000000,715
id,df,1000000,1106
id,dfthreads,1000000,706
id,df,1000000,1106
id,dfthreads,1000000,685
id,df,1000000,1096
id,dfthreads,1000000,678
id,df,1000000,1119
id,dfthreads,1000000,675
id,df,1000000,1090
id,dfthreads,1000000,693
id,df,1000000,1093
id,dfthreads,1000000,700
id,df,1000000,1107
id,dfthreads,1000000,701
id,df,1000000,1112
id,dfthreads,1000000,691
id,df,1000000,1910
id,dfthreads,1000000,770
id,df,1000000,1149
id,dfthreads,1000000,805
id,df,1000000,1243
id,dfthreads,1000000,688
id,df,1000000,1141
id,dfthreads,1000000,732
id,df,1000000,1172
id,dfthreads,1000000,695
id,df,1000000,1130
id,dfthreads,1000000,695
id,df,1000000,1149
id,dfthreads,1000000,728
id,df,1000000,1319
id,dfthreads,1000000,936
id,df,1000000,1525
id,dfthreads,1000000,713
id,df,1000000,1468
id,dfthreads,1000000,868
id,df,1000000,1183
id,dfthreads,1000000,667
id,df,1000000,1351
id,dfthreads,1000000,697
id,df,1000000,1168
id,dfthreads,1000000,689
id,df,1000000,1150
id,dfthreads,1000000,675
id,df,1000000,1114
id,dfthreads,1000000,685
id,df,1000000,1627
id,dfthreads,1000000,826
id,df,1000000,1332
id,dfthreads,1000000,652
id,df,1000000,1110
id,dfthreads,1000000,739
id,df,1000000,1094
id,dfthreads,1000000,644
id,df,1000000,1093
id,dfthreads,1000000,650
id,df,1000000,1121
id,dfthreads,1000000,682
id,df,1000000,1145
id,dfthreads,1000000,677
id,df,1000000,1140
id,dfthreads,1000000,676
id,df,1000000,1139
id,dfthreads,1000000,678
id,df,1000000,1131
id,dfthreads,1000000,690
id,df,1000000,1141
id,dfthreads,1000000,667
id,df,1000000,1128
id,dfthreads,1000000,672
id,df,1000000,1136
id,dfthreads,1000000,687
id,df,1000000,1130
id,dfthreads,1000000,668
id,df,1000000,1138
id,dfthreads,1000000,664
id-date,df,1000000,8095
id-date,dfthreads,1000000,7686
id-date,df,1000000,6914
id-date,dfthreads,1000000,6423
id-date,df,1000000,6691
id-date,dfthreads,1000000,6225
id-date,df,1000000,5801
id-date,dfthreads,1000000,5813
id-date,df,1000000,5586
id-date,dfthreads,1000000,6090
id-date,df,1000000,5659
id-date,dfthreads,1000000,5446
id-date,df,1000000,5630
id-date,dfthreads,1000000,6403
id-date,df,1000000,5847
id-date,dfthreads,1000000,5515
id-date,df,1000000,5569
id-date,dfthreads,1000000,5439
id-date,df,1000000,6243
id-date,dfthreads,1000000,6075
id-date,df,1000000,5593
id-date,dfthreads,1000000,5539
id-date,df,1000000,5346
id-date,dfthreads,1000000,6162
id-date,df,1000000,7323
id-date,dfthreads,1000000,5778
id-date,df,1000000,5400
id-date,dfthreads,1000000,5516
id-date,df,1000000,5359
id-date,dfthreads,1000000,5683
id,df,1000000,1683
